contest, issue, type, #auditor
38, H-01, O1, 1
38, H-02, O5, 2
38, H-03, S3, 2
38, H-04, C, 1
37, H-01, C, 1
45, H-01, S3, 1
45, H-02, S6, 1
41, H-01, S4, 1
34, H-01, S6, 2
34, H-02, O1, 1
39, H-01, L8, 11
39, H-02, S6, 2
39, H-03, S5, 1
39, H-04, C, 1
35, H-01, L7, 2
35, H-02, S2, 5
35, H-03, S3, 5
35, H-04, L7, 1
35, H-05, L7, 1
35, H-06, S5, 1
35, H-07, S4, 1
35, H-08, S6, 1
35, H-10, S3, 1
35, H-11, S6, 1
35, H-12, S3, 1
35, H-13, S3, 4
35, H-14, L4, 1
35, H-15, L7, 1
35, H-16, O3, 1
35, H-17, C, 1
32, H-01, S6, 2
32, H-02, S3, 1
29, H-01, O5, 3
29, H-02, O5, 4
29, H-03, L7, 1
29, H-05, C, 1
29, H-06, O5, 1
29, H-07, L3, 2
29, H-08, S6, 3
29, H-09, L7, 2
29, H-10, S6, 1
29, H-11, S6, 1
29, H-12, S6, 2
29, H-13, L7, 2
29, H-14, S6, 1
29, H-15, S6, 1
29, H-16, S3, 1
36, H-01, L1, 1
36, H-02, S3, 1
36, H-03, O1, 3
28, H-01, S2, 4
28, H-02, S2, 1
28, H-03, C, 1
30, H-01, S6, 1
30, H-02, L7, 2
30, H-03, O1, 3
30, H-04, C, 3
30, H-05, O1, 3
30, H-06, O1, 1
30, H-07, S6, 1
30, H-08, S6, 3
30, H-09, O1, 1
30, H-10, S6, 3
31, H-01, S3, 2
27, H-01, O2, 1
27, H-02, O2, 1
27, H-03, O2, 1
27, H-04, O2, 1
23, H-01, C, 2
23, H-02, S4, 2
23, H-03, L8, 1
23, H-04, S2, 1
23, H-05, S2, 2
23, H-06, L8, 1
23, H-07, L8, 1
23, H-08, S4, 1
23, H-09, O3, 1
23, H-10, S1, 1
22, H-01, O5, 3
22, H-02, O3, 1
22, H-03, S5, 1
21, H-01, O6, 3
21, H-02, C, 3
20, H-01, O6, 1
20, H-02, L7, 5
20, H-03, L8, 11
